pincode,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater
,,,0,,,,,,
110001,Delhi,Central Delhi,5284,5664,1324,9552,364,156,24
110002,Delhi,Central Delhi,2992,3884,357,3443,302,79,4
110003,Delhi,Central Delhi,16464,21762,1470,14682,2164,928,336
110004,Delhi,Central Delhi,87,18,6,56,10,1,0
110005,Delhi,Central Delhi,4634,6424,834,10227,619,202,50
110006,Delhi,North Delhi,7948,11432,1748,17100,778,161,9
110007,Delhi,North Delhi,11350,15560,2244,27864,646,180,18
110008,Delhi,Central Delhi,6469,8161,2072,19508,376,123,18
110009,Delhi,North West Delhi,3241,4410,520,6433,306,71,14
110010,Delhi,South West Delhi,1883,2578,197,1582,113,40,2
110011,Delhi,Central Delhi,672,1384,76,432,64,8,4
110012,Delhi,Central Delhi,2452,3771,329,3142,138,25,5
110013,Delhi,South Delhi,1515,1347,56,751,117,19,5
110014,Delhi,South Delhi,1852,1964,234,3127,162,33,17
110015,Delhi,West Delhi,4642,6970,1170,11126,627,169,22
110016,Delhi,South Delhi,4108,3344,608,6896,736,240,108
110017,Delhi,South Delhi,3766,5371,980,10622,996,307,117
110018,Delhi,West Delhi,8841,12116,1493,15270,2324,752,162
110019,Delhi,South Delhi,6256,7045,1594,16653,552,116,14
110020,Delhi,South Delhi,3879,4979,198,2055,268,97,7
110021,Delhi,New Delhi,5860,6824,996,6124,608,224,184
110022,Delhi,South West Delhi,1805,2172,422,2911,149,27,14
110023,Delhi,New Delhi,4200,5760,844,7504,392,96,44
110024,Delhi,South Delhi,1071,1400,99,1591,196,72,52
110025,Delhi,South Delhi,31964,40224,11040,96580,3484,1140,44
110026,Delhi,West Delhi,877,1140,102,1179,87,24,6
110027,Delhi,West Delhi,5391,9091,1148,12041,740,226,43
110028,Delhi,South West Delhi,2105,2236,203,2000,119,27,1
110029,Delhi,South West Delhi,1354,1672,162,2314,135,30,23
110030,Delhi,South Delhi,21548,32636,2248,22844,2544,884,188
110031,Delhi,East Delhi,5716,7423,3136,17371,409,134,6
110032,Delhi,East Delhi,91503,129915,19701,126324,13950,5085,504
110033,Delhi,North West Delhi,10880,17220,3997,38251,814,199,5
110034,Delhi,North West Delhi,6964,7548,3802,26863,1630,566,122
110035,Delhi,North West Delhi,3166,4574,754,7249,255,60,1
110036,Delhi,North West Delhi,5194,6559,1410,6952,387,92,4
110037,Delhi,South West Delhi,10504,9194,4056,20742,763,338,65
110038,Delhi,South West Delhi,931,719,189,1226,39,13,0
110039,Delhi,North West Delhi,16600,23824,6042,29128,902,368,44
110040,Delhi,North West Delhi,17750,15896,6976,26542,1292,824,92
110041,Delhi,West Delhi,18033,27420,7204,35266,2115,629,22
110042,Delhi,North West Delhi,17676,29109,4551,27811,1061,319,7
110043,Delhi,Najafgarh,135936,178713,48159,331407,10143,2934,81
110044,Delhi,South Delhi,19840,25972,5792,39991,1412,368,12
110045,Delhi,South West Delhi,9642,11397,3692,31795,2158,688,138
110046,Delhi,South West Delhi,4710,5526,1918,15741,282,73,7
110047,Delhi,South Delhi,13340,20908,3428,20972,936,248,16
110048,Delhi,South Delhi,908,1164,131,2057,129,34,42
110049,Delhi,South Delhi,1391,1694,139,1461,160,23,9
110051,Delhi,East Delhi,5216,6353,1913,17476,608,176,22
110052,Delhi,North West Delhi,7314,10083,1610,16857,438,91,4
110053,Delhi,East Delhi,455320,730880,63460,435700,42384,18240,320
110054,Delhi,North Delhi,5238,6498,454,3746,247,85,15
110055,Delhi,Central Delhi,3845,4225,537,5225,572,300,36
110056,Delhi,North West Delhi,448,353,22,237,26,6,1
110057,Delhi,South West Delhi,3130,3646,360,4770,145,43,24
110058,Delhi,West Delhi,3530,4600,197,2049,304,70,6
110059,Delhi,West Delhi,24328,32736,11402,104241,7297,2425,740
110060,Delhi,Central Delhi,329,485,42,646,42,9,2
110061,Delhi,South West Delhi,3724,3398,364,3160,281,173,97
110062,Delhi,South Delhi,21305,29062,3713,47075,2081,519,22
110063,Delhi,West Delhi,3425,4321,1893,16259,316,66,7
110064,Delhi,South West Delhi,7632,9796,1344,14524,476,152,16
110065,Delhi,South Delhi,3089,3129,293,3026,513,151,56
110066,Delhi,South West Delhi,539,653,69,502,34,9,10
110067,Delhi,South West Delhi,1129,1040,104,1072,92,28,15
110068,Delhi,South Delhi,1791,1891,274,3355,150,68,5
110069,Delhi,Central Delhi,1,0,0,0,0,0,0
110070,Delhi,South West Delhi,3960,4678,1236,11094,389,160,59
110071,Delhi,South West Delhi,2382,2715,544,3508,213,58,2
110072,Delhi,South West Delhi,954,967,115,1048,70,10,0
110073,Delhi,South West Delhi,1949,1599,103,826,99,6,0
110074,Delhi,South Delhi,5466,6477,1251,11790,729,213,17
110075,Delhi,South West Delhi,2257,2624,1024,8571,254,35,5
110076,Delhi,South Delhi,5237,8245,849,9623,447,90,3
110077,Delhi,South West Delhi,3760,3663,1555,10650,481,116,18
110078,Delhi,South West Delhi,4065,4136,1057,6842,453,68,6
110080,Delhi,South Delhi,2220,2292,568,4537,290,37,0
110081,Delhi,North West Delhi,6029,10320,676,4614,494,91,2
110082,Delhi,North West Delhi,2586,3876,356,1922,203,49,5
110083,Delhi,North West Delhi,6966,12326,1250,8160,405,63,4
110084,Delhi,North Delhi,9400,12727,6220,44678,970,373,12
110085,Delhi,North West Delhi,12547,15199,5455,40820,2154,484,69
110086,Delhi,North West Delhi,26574,39616,7494,48111,2402,471,26
110087,Delhi,West Delhi,2218,3361,773,6048,190,22,2
110088,Delhi,North West Delhi,4540,6333,867,8122,317,61,6
110089,Delhi,North West Delhi,2257,4199,469,3937,190,29,0
110090,Delhi,North East Delhi,196,140,64,260,44,4,0
110091,Delhi,East Delhi,10958,13650,4722,38038,1729,488,29
110092,Delhi,East Delhi,13321,15454,8020,56936,3405,1206,152
110093,Delhi,East Delhi,290160,380224,84720,413088,18416,4688,96
110094,Delhi,East Delhi,509728,750512,292544,1363024,89424,43280,768
110095,Delhi,East Delhi,32916,43924,8640,41068,4300,804,56
110096,Delhi,East Delhi,9761,8913,6484,26280,643,223,1
121001,Haryana,Faridabad,11385,9338,3018,24936,2530,537,62
121002,Haryana,Faridabad,5922,6900,2085,14064,1062,333,40
121003,Haryana,Faridabad,5626,7314,1732,13602,1148,443,53
121004,Haryana,Faridabad,80936,80600,35736,232252,26028,6320,564
121005,Haryana,Faridabad,7128,6208,2255,16451,625,128,4
121006,Haryana,Faridabad,2012,1895,503,3359,172,33,7
121007,Haryana,Faridabad,778,784,141,1098,76,11,8
121008,Haryana,Faridabad,594,726,110,915,47,12,1
121009,Haryana,Faridabad,1132,1449,114,1220,90,33,3
121010,Haryana,Faridabad,513,607,108,1454,64,25,0
121012,Haryana,Faridabad,99,68,8,170,8,2,0
121013,Haryana,Faridabad,1067,1545,141,1285,100,40,0
121014,Haryana,Faridabad,5,9,5,70,2,2,0
121101,Haryana,Faridabad,3031,3530,690,4941,242,56,4
121102,Haryana,Faridabad,50572,48100,12792,108120,6504,476,8
121103,Haryana,Faridabad,27200,22156,6732,65232,5008,432,0
121105,Haryana,Faridabad,13420,12100,3308,27980,1932,148,4
121106,Haryana,Faridabad,18164,17736,3256,24096,2284,96,4
121107,Haryana,Faridabad,5456,5018,1306,9038,1476,136,0
121705,Uttar Pradesh,Azamgarh,1334,858,954,5058,156,238,0
122001,Haryana,Gurgaon,22426,21960,9552,69896,3416,1066,161
122002,Haryana,Gurgaon,2110,2672,1718,17342,377,187,137
122003,Haryana,Gurgaon,1147,1291,296,3002,169,35,7
122004,Haryana,Gurgaon,3294,3228,1620,13206,375,100,15
122005,Haryana,Gurgaon,9,8,9,65,8,2,2
122006,Haryana,Gurgaon,779,865,552,4872,256,36,2
122007,Haryana,Gurgaon,11,9,1,28,0,0,0
122008,Haryana,Gurgaon,4,11,4,63,5,1,1
122009,Haryana,Gurgaon,318,415,90,1253,30,11,17
122010,Haryana,Gurgaon,13,13,9,108,3,4,1
122011,Haryana,Gurgaon,584,487,132,1308,53,18,15
122015,Haryana,Gurgaon,317,321,58,549,36,9,1
122016,Haryana,Gurgaon,251,288,31,290,22,6,2
122017,Haryana,Gurgaon,1404,1433,765,6245,181,66,6
122018,Haryana,Gurgaon,942,947,444,3311,137,32,7
122051,Haryana,Gurgaon,414,452,38,390,54,10,1
122052,Haryana,Gurgaon,63,66,15,183,8,3,0
122098,Haryana,Gurgaon,2,2,7,72,4,0,1
122101,Haryana,Gurgaon,1444,1922,1018,7726,220,52,5
122102,Haryana,Gurgaon,3408,3318,309,2021,488,108,22
122103,Haryana,Gurgaon,35190,26298,8196,61602,4728,564,44
122104,Haryana,Gurgaon,4848,3486,1288,12190,1448,92,4
122105,Haryana,Gurgaon,35064,31680,2180,18756,3180,156,0
122107,Haryana,Akhera,59031,46764,13152,106680,12108,1044,0
122108,Haryana,Mewat,11082,9446,1672,16074,1211,115,17
122413,Haryana,Gurgaon,2376,2896,506,3230,532,52,0
122414,Haryana,Gurgaon,3964,3916,380,2936,368,16,0
122502,Haryana,Gurgaon,4672,4576,560,3340,404,20,0
122503,Haryana,Gurgaon,2185,1695,353,2587,190,10,0
122504,Haryana,Gurgaon,1089,1051,107,850,135,8,0
122505,Haryana,Gurgaon,1793,1571,1251,9530,228,52,1
122506,Haryana,Gurgaon,1379,1376,306,2339,185,11,1
122508,Haryana,Gurgaon,74292,58650,18144,184542,17304,1816,168
123001,Haryana,Mahendragarh,6274,7364,1067,8847,822,38,10
123021,Haryana,Mahendragarh,2604,3632,520,4451,303,14,0
123023,Haryana,Mahendragarh,3012,3780,203,2287,360,54,0
123024,Haryana,Mahendragarh,1325,2037,124,1182,149,10,0
123027,Haryana,Mahendragarh,2126,3118,576,3147,308,14,0
123028,Haryana,Mahendragarh,755,1152,56,533,118,5,2
123029,Haryana,Mahendragarh,12724,20572,1608,16704,1472,56,32
123034,Haryana,Gurgaon,1224,2108,312,1618,296,12,8
123035,Haryana,Gurgaon,4064,4300,204,2284,484,8,0
123101,Haryana,Rewari,1249,1095,223,1466,85,3,0
123102,Haryana,Rewari,1081,1477,98,635,93,1,2
123103,Haryana,Rewari,696,812,67,417,70,5,0
123106,Haryana,Rewari,2439,1794,764,4691,174,29,1
123110,Haryana,Rewari,344,288,27,207,19,4,0
123301,Haryana,Rewari,604,564,119,576,70,5,0
123302,Haryana,Rewari,1484,1443,151,808,126,7,0
123303,Haryana,Rewari,1388,1566,148,1079,126,3,0
123304,0,0,0,0,4,12,0,0,0
123401,Haryana,Gurgaon,17796,18648,7056,41246,3336,196,4
123411,Haryana,Rewari,2049,2148,419,2544,222,4,0
123412,Haryana,Rewari,547,508,51,362,61,5,0
123501,Haryana,Rewari,2552,2026,466,3342,272,22,2
124001,Haryana,Rohtak,46676,87032,4752,23302,3056,266,118
124021,Haryana,Jhajjar,4136,8184,336,2256,504,12,4
124022,Haryana,Rohtak,507,1143,27,178,56,2,0
124102,Haryana,Jhajjar,1080,2588,74,602,91,1,0
124103,Haryana,Jhajjar,3549,4074,540,5178,398,10,0
124104,Haryana,Jhajjar,788,946,45,391,97,7,0
124105,Haryana,Jhajjar,1306,1258,141,991,128,2,0
124106,Haryana,Jhajjar,1626,2500,92,949,139,7,0
124107,Haryana,Jhajjar,715,1458,43,447,112,2,0
124108,Haryana,Jhajjar,1291,1427,102,920,169,3,0
124109,Haryana,Jhajjar,1251,1840,69,539,133,10,0
124111,Haryana,Rohtak,956,2208,113,645,115,1,0
124112,Haryana,Rohtak,2521,5261,455,2294,291,4,0
124113,Haryana,Rohtak,1242,2957,160,926,121,6,0
124142,Haryana,Jhajjar,652,678,70,527,51,1,0
124146,Haryana,Jhajjar,1077,1842,66,469,82,2,0
124201,Haryana,Jhajjar,3612,8944,68,664,344,0,0
124202,Haryana,Jhajjar,3168,6632,96,904,360,12,0
124303,Haryana,Rohtak,997,1857,131,679,103,3,0
124401,Haryana,Rohtak,1079,2138,159,860,142,11,0
124404,Haryana,Jhajjar,1204,2056,80,652,124,8,0
124406,Haryana,Jhajjar,341,663,96,800,136,2,2
124411,Haryana,Rohtak,670,1481,37,179,72,1,0
124412,Haryana,Jhajjar,3112,6556,260,1220,316,16,0
124501,Haryana,Jhajjar,9756,15816,1072,9404,1180,64,0
124504,Haryana,Jhajjar,371,543,24,225,56,2,0
124505,Haryana,Jhajjar,839,902,51,602,74,2,0
124506,Haryana,Jhajjar,372,380,12,144,27,1,0
124507,Haryana,Jhajjar,8025,7705,2394,16218,698,40,10
124513,Haryana,Rohtak,428,619,20,202,46,2,0
124514,Haryana,Rohtak,1558,3013,225,1310,172,9,0
125001,Haryana,Hisar,33682,35494,2089,14467,3302,282,22
125004,Haryana,Hisar,1459,1848,104,844,114,4,0
125005,Haryana,Hisar,868,1187,76,643,92,8,0
125006,Haryana,Hisar,779,808,43,318,82,6,0
125011,Haryana,Hisar,1,0,0,0,0,0,0
125033,Haryana,Hisar,8161,9134,1436,12704,689,23,4
125037,Haryana,Hisar,422,682,25,204,29,4,0
125038,Haryana,Hisar,738,1100,82,752,73,1,0
125039,Haryana,Hisar,3496,4704,626,6127,308,7,1
125042,Haryana,Hisar,1863,2663,127,1237,167,5,0
125044,Haryana,Hisar,1302,1726,255,1449,161,7,0
125047,Haryana,Fatehabad,9016,10420,1014,9276,1338,84,6
125048,Haryana,Fatehabad,5268,9472,232,1876,504,16,0
125049,Haryana,Hisar,1260,1769,109,872,128,4,2
125050,Haryana,Fatehabad,28896,31624,10188,74370,3480,156,12
125051,Haryana,Fatehabad,7620,8680,2246,22418,1000,32,0
125052,Haryana,Fatehabad,30954,34416,2552,22384,2526,132,0
125053,Haryana,Fatehabad,9844,14988,968,9288,868,60,0
125054,Haryana,Sirsa,638,758,37,420,62,2,0
125055,Haryana,Hisar,55900,69360,8492,82104,3976,264,8
125058,Haryana,Sirsa,672,736,61,454,30,8,0
125060,Haryana,Fatehabad,1406,1871,402,2946,238,6,0
125075,Haryana,Sirsa,2244,3005,132,1825,177,10,0
125076,Haryana,Sirsa,1970,3044,190,1631,179,10,0
125077,Haryana,Sirsa,1958,2605,198,2238,146,4,0
125078,Haryana,Sirsa,1731,2351,67,1517,149,6,0
125101,Haryana,Sirsa,508,1182,24,319,70,2,0
125102,Haryana,Sirsa,2943,4612,595,4780,204,19,0
125103,Haryana,Fatehabad,1944,2850,264,4302,362,12,0
125104,Haryana,Sirsa,4135,6078,669,7291,340,35,0
125106,Haryana,Fatehabad,1763,2780,110,1025,145,2,0
125110,Haryana,Sirsa,3046,4488,203,2197,254,16,0
125111,Haryana,Fatehabad,5000,5730,1342,9358,1128,44,4
125112,Haryana,Fatehabad,5340,7516,480,5836,596,20,0
125113,Haryana,Fatehabad,12124,13928,620,5720,1148,56,0
125120,Haryana,Fatehabad,8610,13490,483,3945,872,30,12
125121,Haryana,Fatehabad,11486,14584,2253,22773,2856,144,0
125133,Haryana,Fatehabad,1279,3012,67,629,99,2,0
125201,Haryana,Sirsa,3475,5506,344,3367,230,12,0
126101,Haryana,Jind,1841,2682,490,4539,280,7,0
126102,Haryana,Jind,7768,12779,1577,10943,949,28,0
126110,Haryana,Jind,682,1111,70,593,76,3,0
126111,Haryana,Jind,894,1662,42,526,137,9,0
126112,Haryana,Jind,4208,8584,508,4141,384,7,0
126113,Haryana,Jind,1718,2562,137,1604,182,1,0
126114,Haryana,Jind,1521,3350,119,991,237,5,0
126115,Haryana,Jind,3154,5464,384,3328,337,13,0
126116,Haryana,Jind,9467,12068,1241,9439,796,13,0
126125,Haryana,Jind,1731,3652,160,1377,192,5,0
126152,Haryana,Jind,1893,2477,195,1609,159,1,0
127020,Haryana,Bhiwani,0,1,0,0,0,0,0
127021,Haryana,Bhiwani,32580,54296,4760,30356,2972,116,28
127022,Haryana,Bhiwani,2596,3152,472,3608,300,16,0
127025,Haryana,Bhiwani,3016,3672,268,1980,220,12,0
127026,Haryana,Bhiwani,4156,5440,332,3124,520,28,0
127027,Haryana,Bhiwani,607,1533,81,418,69,2,1
127028,Haryana,Bhiwani,1408,1736,75,808,152,9,1
127029,Haryana,Bhiwani,989,1871,66,615,77,1,0
127030,Haryana,Bhiwani,4240,6524,488,5196,532,12,0
127031,Haryana,Bhiwani,1633,2719,217,1225,127,3,2
127032,Haryana,Bhiwani,2169,3898,149,1068,202,10,0
127035,Haryana,Bhiwani,786,1596,53,385,114,7,0
127040,Haryana,Bhiwani,2666,4705,273,1962,293,14,1
127041,Haryana,Bhiwani,4296,8584,148,1288,444,8,0
127042,Haryana,Bhiwani,3436,5384,504,3164,284,16,0
127043,Haryana,Bhiwani,1147,1516,87,986,119,10,0
127045,Haryana,Bhiwani,306,414,24,120,36,6,0
127046,Haryana,Bhiwani,2022,3093,419,2567,199,9,0
127110,Haryana,Bhiwani,222,349,13,98,20,2,0
127111,Haryana,Bhiwani,1249,2091,152,1067,89,5,0
127114,Haryana,Bhiwani,919,1787,87,619,89,3,0
127201,Haryana,Bhiwani,5418,7848,342,3652,600,24,8
127306,Haryana,Bhiwani,10348,14100,3740,22796,1500,44,0
127307,Haryana,Bhiwani,2320,2668,368,3252,296,8,0
127308,Haryana,Bhiwani,9020,10956,836,7496,544,12,0
127309,Haryana,Bhiwani,6004,10008,1276,8228,628,12,0
127310,Haryana,Bhiwani,5456,6528,1048,7840,580,28,0
127311,Haryana,Charkhi Dadri,2,2,2,16,8,0,0
127312,Haryana,Charkhi Dadri,190,469,102,489,63,0,0
131001,Haryana,Sonipat,9328,9350,3715,23231,1271,129,31
131021,Haryana,Sonipat,1079,1349,359,2000,139,14,0
131022,Haryana,Sonipat,590,652,24,238,66,3,0
131023,Haryana,Sonipat,1361,1878,318,2401,175,18,0
131024,Haryana,Sonipat,693,1143,100,724,99,3,0
131027,Haryana,Sonipat,1225,1366,172,1301,140,6,0
131028,Haryana,Sonipat,859,1066,174,1866,83,23,2
131029,Haryana,Sonipat,981,1276,240,1311,97,7,1
131039,Haryana,Sonipat,813,1111,82,617,113,3,0
131101,Haryana,Sonipat,3795,5316,680,4497,483,11,1
131102,Haryana,Sonipat,792,1371,41,254,105,3,2
131103,Haryana,Sonipat,849,1142,136,1026,102,14,0
131301,Haryana,Sonipat,5242,9325,966,7271,589,15,0
131302,Haryana,Sonipat,1233,2826,200,1665,149,1,0
131304,Haryana,Sonipat,745,1511,51,396,76,1,0
131305,Haryana,Sonipat,567,940,27,285,66,0,0
131306,Haryana,Sonipat,887,2210,74,424,112,2,0
131402,Haryana,Sonipat,1548,2766,241,2154,216,5,0
131403,Haryana,Sonipat,475,746,40,346,42,2,0
131408,Haryana,Sonipat,1079,1821,81,716,129,6,0
131409,Haryana,Sonipat,483,864,27,193,62,2,0
132001,Haryana,Karnal,10888,15927,3616,21592,1121,90,3
132022,Haryana,Karnal,581,991,47,277,76,2,0
132023,Haryana,Karnal,583,1046,108,658,75,2,0
132024,Haryana,Karnal,1569,3603,167,1361,113,5,1
132036,Haryana,Karnal,1310,2029,83,356,117,2,0
132037,Haryana,Karnal,895,1530,123,774,111,7,1
132039,Haryana,Karnal,2670,5114,284,2381,335,6,0
132040,Haryana,Karnal,937,2075,98,410,148,1,0
132041,Haryana,Karnal,2123,5035,280,2078,276,5,1
132046,Haryana,Karnal,839,1752,65,407,111,1,0
132054,Haryana,Karnal,1309,2843,170,1149,152,5,0
132101,Haryana,Panipat,2704,4582,580,4660,324,30,1
132102,Haryana,Panipat,358,650,61,535,35,2,0
132103,Haryana,Panipat,19853,28422,7663,46825,4150,470,44
132104,Haryana,Panipat,1558,3067,163,1107,156,12,1
132105,Haryana,Panipat,584,819,55,386,82,2,1
132106,Haryana,Panipat,27,40,5,41,5,0,0
132107,Haryana,Panipat,1524,2934,250,1659,154,1,0
132108,Haryana,Panipat,698,1101,83,648,93,3,0
132113,Haryana,Panipat,1875,3089,320,2317,242,10,0
132114,Haryana,Karnal,3951,7814,1066,6632,745,40,0
132115,Haryana,Panipat,410,550,27,249,50,1,0
132116,Haryana,Karnal,1965,4286,456,2721,172,3,0
132117,Haryana,Karnal,1544,4352,172,1004,170,4,0
132122,Haryana,Panipat,546,795,30,252,58,6,0
132140,Haryana,Panipat,594,951,134,540,68,3,0
132145,Haryana,Panipat,695,1347,60,434,81,3,0
132157,Haryana,Karnal,1260,3198,93,503,139,6,2
133001,Haryana,Ambala,4290,6480,950,6474,398,21,1
133004,Haryana,Ambala,2832,5072,118,809,310,8,0
133005,Haryana,Ambala,769,843,57,694,76,9,0
133006,Haryana,Ambala,116,162,7,78,10,1,0
133021,Haryana,Ambala,229,236,21,148,16,0,0
133101,Haryana,Ambala,427,844,25,315,61,2,0
133102,Haryana,Ambala,593,1209,24,348,74,2,0
133103,Haryana,Yamuna Nagar,1754,3816,820,5334,418,4,0
133104,Haryana,Ambala,1110,1815,176,1736,264,4,0
133105,Haryana,Ambala,109,327,18,170,26,0,0
133201,Haryana,Ambala,1345,2221,105,893,129,4,10
133202,Haryana,Ambala,2520,5084,160,1556,308,4,0
133203,Haryana,Ambala,969,1807,76,846,100,4,0
133204,Haryana,Ambala,3602,8608,522,5154,1062,12,0
133205,Haryana,Ambala,1202,2194,140,969,94,0,1
133206,Haryana,Ambala,3616,8648,228,2008,356,16,0
133301,Haryana,Panchkula,398,409,39,357,34,1,0
133302,Haryana,Panchkula,3686,4986,429,1944,204,14,0
134002,0,0,0,0,0,1,0,0,0
134003,Haryana,Ambala,7580,15072,2688,16846,1898,98,34
134007,Haryana,Ambala,556,1193,127,932,69,7,0
134011,Haryana,Ambala,165,444,14,89,19,1,0
134101,Haryana,Panchkula,39,23,9,32,3,0,0
134102,Haryana,Panchkula,2912,2873,1189,6281,188,15,0
134103,Haryana,Panchkula,1,1,0,1,0,0,0
134104,Haryana,Panchkula,204,221,17,205,20,0,0
134105,Haryana,Panchkula,2,3,2,50,0,0,0
134107,Haryana,Panchkula,555,501,34,461,42,1,0
134108,Haryana,Panchkula,432,278,68,293,26,1,1
134109,Haryana,Panchkula,4904,4310,392,2991,330,42,0
134112,Haryana,Panchkula,869,738,239,1567,50,4,0
134113,Haryana,Panchkula,2418,1881,1229,4714,141,15,0
134114,Haryana,Panchkula,286,201,48,367,32,5,0
134115,Haryana,Panchkula,113,151,7,98,12,1,0
134116,Haryana,Panchkula,1832,1333,1152,4833,107,5,1
134117,Haryana,Panchkula,126,88,64,261,17,3,0
134118,Haryana,Ambala,7644,10200,1056,7696,712,32,12
134201,Haryana,Ambala,2852,3384,164,2300,352,8,0
134202,Haryana,Ambala,1362,2011,350,4138,438,6,6
134203,Haryana,Ambala,6248,10194,1252,9000,1600,40,0
134204,Haryana,Panchkula,2790,4890,206,2160,252,8,2
134205,Haryana,Panchkula,484,582,26,408,44,1,0
135001,Haryana,Ambala,73278,102876,11040,75426,9756,423,36
135002,Haryana,Yamuna Nagar,4192,6120,640,5092,396,8,0
135003,Haryana,Ambala,14612,23532,9492,58974,1992,90,6
135021,Haryana,Yamuna Nagar,2458,4010,396,4030,536,20,0
135101,Haryana,Ambala,10744,13968,2892,24792,1422,42,6
135102,Haryana,Ambala,6852,11229,1731,13659,2295,54,18
135103,Haryana,Yamuna Nagar,3912,6784,550,5886,988,52,0
135106,Haryana,Yamuna Nagar,1938,2806,160,1294,444,20,0
135133,Haryana,Panchkula,12616,26788,3522,23064,2064,30,0
136020,Haryana,Kaithal,1974,3020,246,1156,312,16,0
136021,Haryana,Kaithal,1526,2628,153,722,97,1,1
136026,Haryana,Kaithal,1937,3021,79,452,135,0,0
136027,Haryana,Kaithal,12574,15703,2930,19900,1267,39,11
136030,Haryana,Kurukshetra,959,1841,39,235,86,0,0
136033,Haryana,Kaithal,2071,2478,229,1775,179,5,0
136034,Haryana,Kaithal,2998,3912,442,3820,210,8,0
136035,Haryana,Kaithal,1617,1722,265,2103,104,3,0
136038,Haryana,Kurukshetra,395,810,24,153,32,2,0
136042,Haryana,Kaithal,1719,2440,101,892,77,7,0
136043,Haryana,Kaithal,2357,4137,167,1181,190,6,0
136044,Haryana,Kaithal,1409,2194,104,590,136,4,0
136117,Haryana,Kaithal,5213,5801,402,2983,421,8,0
136118,Haryana,Kurukshetra,4047,6474,1042,6268,357,18,0
136119,Haryana,Kurukshetra,2366,4976,338,2299,327,15,11
136128,Haryana,Kurukshetra,3294,7125,399,3414,272,11,0
136129,Haryana,Kurukshetra,881,2231,39,363,118,1,0
136130,Haryana,Kurukshetra,838,2274,34,265,75,0,0
136131,Haryana,Kurukshetra,2276,4564,193,1581,211,7,0
136132,Haryana,Kurukshetra,2345,4074,286,2844,294,4,0
136135,Haryana,Kurukshetra,3907,8292,967,6500,378,18,0
136136,Haryana,Kurukshetra,452,1358,14,103,40,2,0
136156,Haryana,Kurukshetra,1592,2603,139,1153,125,0,0
140001,Punjab,Rupnagar,2498,3262,162,1886,169,10,2
140101,Punjab,Fatehgarh Sahib,10536,13956,780,12000,693,81,27
140102,Punjab,Fatehgarh Sahib,2920,3704,84,1520,140,16,4
140103,Punjab,Rupnagar,17352,25884,1188,15156,1125,180,0
140108,Punjab,Rupnagar,905,2105,75,1033,56,9,0
140109,Punjab,S.A.S Nagar(Mohali),1000,2228,20,664,120,24,0
140110,Punjab,S.A.S Nagar(Mohali),3474,5778,144,1636,246,18,6
140111,Punjab,Rupnagar,1041,1594,47,685,65,6,0
140112,Punjab,Fatehgarh Sahib,2708,4184,72,2064,172,12,0
140113,Punjab,Rupnagar,779,1050,38,559,45,4,0
140114,Punjab,Rupnagar,630,1012,10,131,29,1,0
140115,Punjab,Rupnagar,369,723,7,137,21,3,1
140116,Punjab,Rupnagar,732,1544,19,162,48,3,0
140117,Punjab,Rupnagar,1905,2958,60,809,160,16,1
140118,Punjab,Rupnagar,515,1133,33,449,48,4,1
140119,Punjab,Rupnagar,698,1223,34,413,57,2,0
140123,Punjab,Rupnagar,563,1093,29,227,23,1,1
140124,Punjab,Rupnagar,701,912,45,441,56,4,0
140125,Punjab,Rupnagar,574,875,47,532,40,1,0
140126,Punjab,Rupnagar,1391,2067,144,1410,85,5,3
140133,Punjab,Rupnagar,747,1417,57,411,53,0,0
140201,Punjab,Patiala,3032,2864,420,5478,330,78,0
140301,Punjab,Rupnagar,59928,69432,18432,222228,10593,2943,648
140306,Punjab,Rupnagar,13428,12078,1071,16308,1008,225,18
140307,Punjab,Fatehgarh Sahib,22864,26016,1920,30000,1776,272,32
140308,Chandigarh,Chandigarh,4962,4236,824,11048,936,108,48
140401,Punjab,Fatehgarh Sahib,56619,63387,9171,85356,3780,360,18
140405,Punjab,Fatehgarh Sahib,450,689,9,218,27,2,0
140406,Punjab,Fatehgarh Sahib,4196,5094,402,5993,236,22,3
140407,Punjab,Fatehgarh Sahib,193,287,3,115,12,1,1
140412,Punjab,Fatehgarh Sahib,9504,9632,384,6392,336,20,0
140413,Punjab,Rupnagar,4059,6894,90,3240,189,27,18
140417,Punjab,Fatehgarh Sahib,4284,6324,195,2688,900,36,9
140501,Punjab,Patiala,16290,15150,1050,12690,1449,189,0
140506,Punjab,SAS Nagar (Mohali),67,67,10,132,7,4,0
140507,Punjab,Patiala,11946,10422,1830,20370,1647,252,9
140601,Punjab,Patiala,17820,22356,603,9783,1305,135,27
140602,Punjab,Fatehgarh Sahib,12384,17064,456,8244,1376,112,0
140603,Chandigarh,Mohali,51900,34185,17340,183240,8800,2000,75
140604,Punjab,Patiala,6234,3576,588,5976,432,81,0
140701,Punjab,Fatehgarh Sahib,2380,3634,88,1808,392,36,4
140702,Punjab,Patiala,1090,1335,63,1231,98,8,0
140802,Punjab,Fatehgarh Sahib,586,645,21,313,38,2,0
140901,Chandigarh,Chandigarh,7096,5200,904,9392,944,160,32
141001,Punjab,Ludhiana,7084,8539,873,12207,1586,594,83
