pincode,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater
768038,Odisha,Bargarh,8708,8132,732,4404,928,124,0
768039,Odisha,Bargarh,2044,1825,191,1189,207,61,0
768040,Odisha,Bargarh,3314,2944,372,2938,452,120,0
768042,Odisha,Bargarh,3170,2527,238,1268,170,95,0
768045,Odisha,Bargarh,1872,2548,298,2000,316,12,0
768048,Odisha,Bargarh,426,509,38,265,84,13,0
768049,Odisha,Bargarh,3240,3480,296,1608,672,84,0
768050,Odisha,Bargarh,1005,989,157,972,77,40,0
768052,Odisha,Bargarh,516,647,128,1142,114,10,0
768102,Odisha,Bargarh,2784,2556,368,1988,288,32,0
768103,Odisha,Bargarh,6428,6232,520,3748,512,84,4
768104,Odisha,Bargarh,6700,8796,832,6248,704,56,0
768105,Odisha,Sambalpur,1740,1267,572,3354,310,44,0
768106,Odisha,Debagarh,19872,16308,3288,20592,2520,468,0
768107,Odisha,Debagarh,8790,6846,2439,15858,786,102,0
768108,Odisha,Bargarh,30516,34284,4548,31920,4832,624,16
768109,Odisha,Debagarh,24516,18486,1356,7890,1230,204,12
768110,Odisha,Bargarh,4635,4905,684,4566,1170,99,18
768111,Odisha,Bargarh,2472,1932,396,2508,252,40,0
768112,Odisha,Debagarh,3040,2888,1256,6920,1080,120,0
768113,Odisha,Sambalpur,3316,2592,552,3588,356,24,0
768115,Odisha,Bargarh,565,755,64,593,66,7,0
768118,0,0,0,0,0,3,0,0,0
768119,Odisha,Debagarh,1005,848,262,1890,164,8,0
768121,Odisha,Debagarh,615,466,73,642,67,10,0
768200,Odisha,Jharsuguda,4545,4713,798,5397,1197,99,0
768201,Odisha,Jharsuguda,5540,4556,920,8588,508,52,0
768202,Odisha,Bargarh,10260,8814,1464,10194,1206,81,0
768203,Odisha,Jharsuguda,794,584,40,274,44,10,0
768204,Odisha,Jharsuguda,1716,1824,212,2144,192,20,0
768211,Odisha,Jharsuguda,1058,789,132,1894,108,8,0
768212,Odisha,Jharsuguda,9984,17580,1080,7116,1242,99,0
768213,Odisha,Jharsuguda,2184,2114,618,3357,582,12,0
768214,Odisha,Bargarh,2688,3546,498,2898,369,27,0
768215,Odisha,Jharsuguda,648,712,59,505,58,2,0
768216,Odisha,Jharsuguda,5154,4848,494,5040,948,120,0
768217,Odisha,Jharsuguda,2258,2124,220,2216,244,40,0
768218,Odisha,Jharsuguda,476,372,54,524,50,10,0
768219,Odisha,Jharsuguda,530,538,74,468,65,0,0
768220,Odisha,Jharsuguda,1626,1352,244,1402,164,16,0
768221,Odisha,Bargarh,8624,8544,1458,9336,1308,192,0
768222,Odisha,Jharsuguda,14730,9516,930,10086,1170,45,0
768224,Odisha,Jharsuguda,1294,2232,142,1054,284,60,0
768225,Odisha,Jharsuguda,370,336,42,281,46,4,0
768226,Odisha,Jharsuguda,4884,6924,324,2420,294,3,0
768227,Odisha,Sambalpur,890,1055,73,513,70,3,0
768228,Odisha,Bargarh,7768,8528,750,7300,2340,360,0
768233,Odisha,Jharsuguda,143,170,20,246,10,4,0
768234,Odisha,Jharsuguda,568,467,29,225,26,1,0
769001,Odisha,Sundargarh,15057,22518,1458,14661,999,432,0
769002,Odisha,Sundargarh,5580,6975,558,4824,396,99,0
769003,Odisha,Sundargarh,13032,18432,1143,10008,1008,276,0
769004,Odisha,Sundargarh,14652,19449,1314,12051,1233,396,0
769005,Odisha,Sundargarh,2556,3906,162,1584,180,54,0
769006,Odisha,Sundargarh,1665,2043,306,2097,126,54,0
